canonical_instrument_id,symbol,event_date,action_type,raw_factor,cumulative_backward_factor,volume_factor,factor_confidence,source_event_id,methodology_version,review_status
NSE:EASEMYTRIP:EQ,EASEMYTRIP,2024-11-29,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-8d75e1e00ead8ada,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ECLERX:EQ,ECLERX,2022-09-21,BONUS,0.6666666666666666666666666667,0.3333333333333333333333333334,1.5,VERIFIED_OFFICIAL,nse-ca-61fff16e7c8e0e7b,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ECLERX:EQ,ECLERX,2026-03-13,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-2fe5a616961e02e7,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:EIHAHOTELS:EQ,EIHAHOTELS,2024-08-13,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-52c37efff9bb2cc9,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ELECON:EQ,ELECON,2024-07-19,STOCK_SPLIT,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-649d116d9e2c145a,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ESSENTIA:EQ,ESSENTIA,2022-02-03,STOCK_SPLIT,0.3333333333333333333333333333,0.1666666666666666666666666666,3,VERIFIED_OFFICIAL,nse-ca-464c08d25d84668e,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:ESSENTIA:EQ,ESSENTIA,2024-01-11,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-7e6802ccdfd682d0,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:EXXARO:EQ,EXXARO,2024-12-13,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-dc56dd4ce0e56ea7,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:FCL:EQ,FCL,2025-10-31,STOCK_SPLIT,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-1f3a1499c23baf71,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:FCL:EQ,FCL,2025-10-31,BONUS,0.2,0.1,5,VERIFIED_OFFICIAL,nse-ca-8925e34ecd003a9d,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
